oferta,precio,mts,bathrooms,recamaras,lat,lon,fuente,fecha_consulta,municipio,precio_m2
casa en venta valles del ejido,1980000.0,120.0,2.0,3.0,23.2675809,-106.4006312,easybroker,2024-09-02 12:27:21.140990,mazatlan,16500.0
departamento en preventa en la marina mazatlan sinaloa,5330000.0,100.0,2.0,2.0,23.2747317,-106.4592768,easybroker,2024-09-02 12:27:21.140990,mazatlan,53300.0
departamento en venta almarena torre alcatraz 202 mazatlan sinaloa,3100000.0,65.0,,2.0,23.3031032726,-106.4781403542,easybroker,2024-09-02 12:27:21.140990,mazatlan,47692.307692307695
ackuun marina mazatlan,2802399.3,39.6,,,23.2819956,-106.4663267,easybroker,2024-09-02 12:27:21.140990,mazatlan,70767.65909090909
sevilla mia,6614920.0,,,,23.2628887,-106.453725,easybroker,2024-09-02 12:27:21.140990,mazatlan,
espectacular casa en mazatlan 13500000 pesos,13500000.0,422.0,4.0,5.0,23.2839661455,-106.4510822296,easybroker,2024-09-02 12:27:21.140990,mazatlan,31990.52132701422
casa paraiso marina,9800000.0,310.0,3.0,4.0,23.2815448,-106.4563298,easybroker,2024-09-02 12:27:21.140990,mazatlan,31612.90322580645
a unos pasos del mar,7000000.0,,3.0,3.0,23.2947003,-106.4714578,easybroker,2024-09-02 12:27:21.140990,mazatlan,
casa en venta,11779809.999999998,,3.0,3.0,23.1966992,-106.4247396,easybroker,2024-09-02 12:27:21.140990,mazatlan,
casa en venta en jabalies,2145000.0,180.0,3.0,4.0,23.2536168,-106.4135255,easybroker,2024-09-02 12:27:21.140990,mazatlan,11916.666666666666
condominio en venta en the one tower,5499000.0,102.6,2.0,2.0,23.2325231,-106.434941,easybroker,2024-09-02 12:27:21.140990,mazatlan,53596.491228070176
departamento en venta,5500000.0,102.0,2.0,2.0,23.2759209,-106.4666839,easybroker,2024-09-02 12:27:21.140990,mazatlan,53921.56862745098
departamento en venta en pinos tower mazatlan sinaloa.,2320000.0,65.0,,,23.2056219,-106.4288887,easybroker,2024-09-02 12:27:21.140990,mazatlan,35692.307692307695
casa en venta en campestre campina del lago,4300000.0,258.0,3.0,2.0,23.2461371015,-106.2670609136,easybroker,2024-09-02 12:27:21.140990,mazatlan,16666.666666666668
casa en venta,3100000.0,165.0,3.0,3.0,23.2283803,-106.4191135,easybroker,2024-09-02 12:27:21.140990,mazatlan,18787.878787878788
casa en venta,4454550.0,142.35,2.0,2.0,23.1962253,-106.4225304,easybroker,2024-09-02 12:27:21.140990,mazatlan,31292.939936775554
condominio en preventa en toram club de playa,9830000.0,109.0,2.0,2.0,23.3238386253,-106.4755104955,easybroker,2024-09-02 12:27:21.140990,mazatlan,90183.4862385321
condominio en preventa en toram,7248705.88,166.72,3.0,3.0,23.2909433365,-106.4394950915,easybroker,2024-09-02 12:27:21.140990,mazatlan,43478.32221689059
condominio en venta en toram,3551470.5,69.0,,2.0,23.2906674093,-106.4393234302,easybroker,2024-09-02 12:27:21.140990,mazatlan,51470.586956521736
