oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2
casa en renta en mazatlan,3,3,135.0,23.296231,-106.434812,2024-09-04 11:28:07.772966,lamudi,25000.0,185.1851851851852
casa en renta en el encanto,3,2,,23.258956,-106.457704,2024-09-04 11:28:07.772966,lamudi,30000.0,
casa en renta en el cid,4,4,270.0,23.255278,-106.450894,2024-09-04 11:28:07.772966,lamudi,50000.0,185.1851851851852
casa en renta en el cid,4,5,,23.252974,-106.45468,2024-09-04 11:28:07.772966,lamudi,50000.0,
departamento en renta en zona dorada,2,2,95.0,23.245892,-106.454207,2024-09-04 11:28:07.772966,lamudi,31500.0,331.57894736842104
departamento en renta en telleria,2,2,,23.228057,-106.42957,2024-09-04 11:28:07.772966,lamudi,32000.0,
casa en renta en sabalo cerritos,3,3,,23.287664,-106.467773,2024-09-04 11:28:07.772966,lamudi,24500.0,
departamento en renta en venadillo,2,2,,23.289606,-106.442604,2024-09-04 11:28:07.772966,lamudi,24000.0,
casa en renta en sabalo cerritos,4,3,,23.291145,-106.470008,2024-09-04 11:28:07.772966,lamudi,25000.0,
departamento en renta en marina mazatlan,3,3,,23.270913,-106.456722,2024-09-04 11:28:07.772966,lamudi,27000.0,
departamento en renta en las gaviotas,3,2,,23.247252,-106.45163,2024-09-04 11:28:07.772966,lamudi,21000.0,
casa en renta en sabalo cerritos,3,2,,23.298981,-106.478335,2024-09-04 11:28:07.772966,lamudi,30000.0,
departamento en renta en marina mazatlan,3,3,250.0,23.272412,-106.454982,2024-09-04 11:28:07.772966,lamudi,40000.0,160.0
departamento en renta en sabalo cerritos,2,2,,23.282481,-106.468356,2024-09-04 11:28:07.772966,lamudi,20000.0,
departamento en renta en marina mazatlan,3,2,,23.271305,-106.453069,2024-09-04 11:28:07.772966,lamudi,25000.0,
casa en renta en el cid,3,2,,23.252974,-106.45468,2024-09-04 11:28:07.772966,lamudi,35000.0,
departamento en renta en club real,3,2,,23.272094,-106.446075,2024-09-04 11:28:07.772966,lamudi,33000.0,
