oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2
casa en venta en el cid,4,4,448.0,23.2552777,-106.4508938,2024-09-02 13:00:56.917298,lamudi,14400000.0,32142.85714285714
departamento en venta en reforma,2,2,122.0,23.2134566,-106.4207579,2024-09-02 13:00:56.917298,lamudi,6190000.0,50737.70491803279
departamento en venta en ferrocarrilera,2,2,101.0,23.2161925,-106.4177672,2024-09-02 13:00:56.917298,lamudi,3000000.0,29702.970297029704
casa en venta en real del valle,4,4,233.0,23.2986179,-106.4298458,2024-09-02 13:00:56.917298,lamudi,5500000.0,23605.150214592275
casa en venta en real del valle,4,3,195.0,23.282649,-106.4285517,2024-09-02 13:00:56.917298,lamudi,4200000.0,21538.46153846154
casa en venta en sabalo cerritos,3,3,235.0,23.3056571,-106.4744846,2024-09-02 13:00:56.917298,lamudi,6800000.0,28936.17021276596
casa en venta en marina mazatlan,5,6,750.0,23.28136885,-106.46039945,2024-09-02 13:00:56.917298,lamudi,19500000.0,26000.0
casa en venta en villa marina,5,6,710.0,23.2795883,-106.4591047,2024-09-02 13:00:56.917298,lamudi,18500000.0,26056.338028169015
casa en venta en sabalo cerritos,3,4,140.0,23.2876641,-106.4677728,2024-09-02 13:00:56.917298,lamudi,6300000.0,45000.0
casa en venta en plaza reforma,3,3,170.0,23.2481415,-106.4348819,2024-09-02 13:00:56.917298,lamudi,3990000.0,23470.58823529412
casa en venta en sabalo cerritos,4,3,362.0,23.2971891,-106.4787564,2024-09-02 13:00:56.917298,lamudi,11500000.0,31767.955801104974
casa en venta en del valle,3,1,110.0,23.2592085,-106.4107745,2024-09-02 13:00:56.917298,lamudi,1900000.0,17272.727272727272
casa en venta en el cid,4,5,400.0,23.2552777,-106.4508938,2024-09-02 13:00:56.917298,lamudi,16990000.0,42475.0
casa en venta en puerta al mar,4,5,540.0,23.2786341,-106.4536404,2024-09-02 13:00:56.917298,lamudi,18500000.0,34259.25925925926
casa en venta en valle del ejido,4,3,160.0,23.277658,-106.403782,2024-09-02 13:00:56.917298,lamudi,2290000.0,14312.5
casa en venta en real del valle,3,3,140.0,23.2864181,-106.4287704,2024-09-02 13:00:56.917298,lamudi,4850000.0,34642.857142857145
casa en venta en cerritos resort,3,2,87.0,23.3067216,-106.4779007,2024-09-02 13:00:56.917298,lamudi,3800000.0,43678.16091954023
casa en venta en lomas del bosque,4,2,,23.2564116,-106.4166631,2024-09-02 13:00:56.917298,lamudi,2790000.0,
casa en venta en las mananitas,3,2,,23.2648946,-106.3866129,2024-09-02 13:00:56.917298,lamudi,1600000.0,
departamento en venta en telleria,2,2,123.0,23.2368952,-106.4416236,2024-09-02 13:00:56.917298,lamudi,8180898.0,66511.36585365854
departamento en venta en telleria,2,2,134.0,23.235029,-106.438329,2024-09-02 13:00:56.917298,lamudi,10304480.0,76899.10447761194
departamento en venta en ferrocarrilera,3,2,118.0,23.22220966,-106.42134055,2024-09-02 13:00:56.917298,lamudi,4000000.0,33898.30508474576
departamento en venta en ferrocarrilera,2,1,64.0,23.21421235,-106.42029449,2024-09-02 13:00:56.917298,lamudi,2400000.0,37500.0
departamento en venta en zona dorada,3,2,180.0,23.2458117,-106.4536075,2024-09-02 13:00:56.917298,lamudi,13800000.0,76666.66666666667
departamento en venta en telleria,3,3,140.0,23.2368307,-106.4412507,2024-09-02 13:00:56.917298,lamudi,6188000.0,44200.0
departamento en venta en ferrocarrilera,2,2,,23.2190951,-106.4212458,2024-09-02 13:00:56.917298,lamudi,4701505.0,
departamento en venta en ferrocarrilera,2,2,77.0,23.21935773,-106.41963132,2024-09-02 13:00:56.917298,lamudi,3311126.0,43001.63636363636
departamento en venta en ferrocarrilera,2,2,84.0,23.218028,-106.4181576,2024-09-02 13:00:56.917298,lamudi,3166402.0,37695.26190476191
departamento en venta en ciudad de mazatlan,2,2,87.0,23.33150856,-106.48286607,2024-09-02 13:00:56.917298,lamudi,4296477.0,49384.793103448275
departamento en venta en cerritos resort,3,2,125.0,23.2990776,-106.4836574,2024-09-02 13:00:56.917298,lamudi,5500000.0,44000.0
casa en venta en real del valle,3,2,125.0,23.2980674,-106.429527,2024-09-02 13:00:56.917298,lamudi,4043000.0,32344.0
casa en venta en lopez mateos,5,1,138.0,23.2383702,-106.4266004,2024-09-02 13:00:56.917298,lamudi,2800000.0,20289.855072463768
departamento en venta en cerritos resort,2,2,115.0,23.2736111,-106.4661111,2024-09-02 13:00:56.917298,lamudi,5600000.0,48695.65217391304
casa en venta en playas infonavit,3,2,264.0,23.2516192,-106.4228283,2024-09-02 13:00:56.917298,lamudi,10500000.0,39772.72727272727
departamento en venta en zona dorada,2,2,140.0,23.2429238,-106.4533857,2024-09-02 13:00:56.917298,lamudi,10500000.0,75000.0
departamento en venta en zona dorada,3,2,140.0,23.2429238,-106.4533857,2024-09-02 13:00:56.917298,lamudi,11000000.0,78571.42857142857
departamento en venta en zona dorada,3,2,140.0,23.2429238,-106.4533857,2024-09-02 13:00:56.917298,lamudi,10800000.0,77142.85714285714
departamento en venta en ferrocarrilera,2,2,80.0,23.2161925,-106.41879717,2024-09-02 13:00:56.917298,lamudi,3700000.0,46250.0
departamento en venta en telleria,2,2,96.0,23.227437,-106.42926,2024-09-02 13:00:56.917298,lamudi,6000000.0,62500.0
departamento en venta en marina mazatlan,2,1,124.0,23.292164,-106.437983,2024-09-02 13:00:56.917298,lamudi,3470000.0,27983.870967741936
departamento en venta en cerritos resort,2,2,190.0,23.3048952,-106.4855562,2024-09-02 13:00:56.917298,lamudi,8500000.0,44736.84210526316
departamento en venta en marina mazatlan,3,2,166.0,23.291368,-106.438706,2024-09-02 13:00:56.917298,lamudi,5053844.0,30444.843373493975
casa en venta en morelos,2,1,104.0,23.2402497,-106.4056221,2024-09-02 13:00:56.917298,lamudi,1850000.0,17788.46153846154
departamento en venta en real del valle,2,2,86.0,23.2863833,-106.4302811,2024-09-02 13:00:56.917298,lamudi,2100000.0,24418.60465116279
departamento en venta en telleria,2,2,122.0,23.2271,-106.42478,2024-09-02 13:00:56.917298,lamudi,8000000.0,65573.77049180328
casa en venta en real del valle,3,3,203.0,23.2863833,-106.4302811,2024-09-02 13:00:56.917298,lamudi,4950000.0,24384.23645320197
