oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2,cvegeo,cve_ent,cve_mun,nom_mun,tipo
casa en renta en mediterraneo club residencial,3.0,2.0,240.0,23.272374,-106.445751,2024-09-04 11:28:07.772966,lamudi,25000.0,104.16666666666669,25012,25,012,Mazatlán,renta
departamento en renta en centro,2.0,2.0,,23.205346,-106.428325,2024-09-04 11:28:07.772966,lamudi,30000.0,,25012,25,012,Mazatlán,renta
casa en renta en marina mazatlan,3.0,3.0,,23.277781,-106.452224,2024-09-04 11:28:07.772966,lamudi,55000.0,,25012,25,012,Mazatlán,renta
casa en renta en el cid,3.0,3.0,,23.257136,-106.450612,2024-09-04 11:28:07.772966,lamudi,35000.0,,25012,25,012,Mazatlán,renta
casa en renta en club real,4.0,3.0,,23.268198,-106.445579,2024-09-04 11:28:07.772966,lamudi,40000.0,,25012,25,012,Mazatlán,renta
casa en renta en real del valle,3.0,2.0,,23.286383,-106.430281,2024-09-04 11:28:07.772966,lamudi,21000.0,,25012,25,012,Mazatlán,renta
casa en renta en mazatlan,3.0,3.0,,23.296231,-106.434812,2024-09-04 11:28:07.772966,lamudi,30000.0,,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,3.0,3.0,,23.274365,-106.462157,2024-09-04 11:28:07.772966,lamudi,60000.0,,25012,25,012,Mazatlán,renta
departamento en renta en sabalo cerritos,3.0,3.0,,23.305479,-106.478069,2024-09-04 11:28:07.772966,lamudi,22000.0,,25012,25,012,Mazatlán,renta
departamento en renta en zona dorada,1.0,1.0,55.0,23.245892,-106.454207,2024-09-04 11:28:07.772966,lamudi,25200.0,458.1818181818182,25012,25,012,Mazatlán,renta
departamento en renta en lomas de mazatlan,2.0,2.0,,23.244349,-106.445004,2024-09-04 11:28:07.772966,lamudi,14000.0,,25012,25,012,Mazatlán,renta
casa en renta en real del valle,3.0,2.0,,23.285468,-106.432864,2024-09-04 11:28:07.772966,lamudi,22000.0,,25012,25,012,Mazatlán,renta
casa en renta en real del valle,4.0,3.0,,23.285468,-106.432864,2024-09-04 11:28:07.772966,lamudi,19000.0,,25012,25,012,Mazatlán,renta
casa en renta en real del valle,4.0,3.0,,23.286086,-106.424819,2024-09-04 11:28:07.772966,lamudi,25000.0,,25012,25,012,Mazatlán,renta
casa en renta en real del valle,3.0,2.0,,23.275569,-106.42785,2024-09-04 11:28:07.772966,lamudi,24000.0,,25012,25,012,Mazatlán,renta
casa en renta en real del valle,3.0,3.0,,23.286094,-106.425514,2024-09-04 11:28:07.772966,lamudi,22000.0,,25012,25,012,Mazatlán,renta
