oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2,cvegeo,cve_ent,cve_mun,nom_mun
departamento en venta en balcones de loma linda,2.0,2.0,72.0,23.201562,-106.427947,2024-09-02 13:00:56.917298,lamudi,3818100.0,53029.16666666666,25012,25,012,Mazatlán
departamento en venta en venadillo,2.0,2.0,87.0,23.289606,-106.442604,2024-09-02 13:00:56.917298,lamudi,3699000.0,42517.24137931035,25012,25,012,Mazatlán
departamento en venta en telleria,2.0,2.0,117.0,23.231527,-106.433921,2024-09-02 13:00:56.917298,lamudi,7650000.0,65384.61538461538,25012,25,012,Mazatlán
casa en venta en villa marina,4.0,4.0,320.0,23.29129,-106.47572,2024-09-02 13:00:56.917298,lamudi,5500000.0,17187.5,25012,25,012,Mazatlán
departamento en venta en centro,2.0,2.0,119.0,23.2017437,-106.4179146,2024-09-02 13:00:56.917298,lamudi,4731722.0,39762.36974789916,25012,25,012,Mazatlán
departamento en venta en reforma,2.0,1.0,90.0,23.2134566,-106.4207579,2024-09-02 13:00:56.917298,lamudi,7500000.0,83333.33333333333,25012,25,012,Mazatlán
departamento en venta en centro,2.0,2.0,139.0,23.1983381,-106.4264771,2024-09-02 13:00:56.917298,lamudi,6500000.0,46762.589928057554,25012,25,012,Mazatlán
casa en fraccionamiento en venta en rincon de las plazas,3.0,3.0,300.0,23.203,-106.4122,2024-09-02 13:00:56.917298,lamudi,8500000.0,28333.33333333333,25012,25,012,Mazatlán
departamento en venta en cerritos resort,2.0,2.0,,23.27220609999999,-106.4655887,2024-09-02 13:00:56.917298,lamudi,4929702.0,,25012,25,012,Mazatlán
casa en venta en ciudad de mazatlan,3.0,5.0,375.0,23.2901539,-106.4740431,2024-09-02 13:00:56.917298,lamudi,15779005.999999998,42077.34933333333,25012,25,012,Mazatlán
departamento en venta en cerritos resort,2.0,2.0,107.0,23.27220609999999,-106.4655887,2024-09-02 13:00:56.917298,lamudi,6731300.202,62909.34768224299,25012,25,012,Mazatlán
